timestamps,TP9,AF7,AF8,TP10,Right AUX
1722219901.710,-73.242,-954.102,-40.527,-57.129,0.000
1722219901.714,-46.875,-974.609,-40.527,-57.129,0.000
1722219901.718,-38.086,-986.816,-93.750,-59.082,0.000
1722219901.722,-71.289,-780.273,-27.344,-68.848,0.000
1722219901.726,-80.078,-497.559,48.340,-57.129,0.000
1722219901.730,-62.500,-665.527,-25.879,-52.246,0.000
1722219901.734,-59.082,-859.863,-59.082,-74.219,0.000
1722219901.738,-69.824,-643.555,-10.742,-80.566,0.000
1722219901.742,-86.914,-549.316,0.000,-74.219,0.000
1722219901.745,-71.289,-726.562,-32.227,-63.965,0.000
1722219901.749,-47.852,-841.797,-41.016,-63.477,0.000
1722219901.753,-53.711,-897.949,-52.246,-69.336,0.000
1722219901.757,-70.312,-992.676,-34.668,-65.918,0.000
1722219901.761,-72.266,-958.984,-67.383,-50.293,0.000
1722219901.765,-62.500,-956.543,-85.449,-48.340,0.000
1722219901.769,-75.195,-838.379,25.879,-71.289,0.000
1722219901.773,-97.168,-661.133,19.531,-85.449,0.000
1722219901.776,-98.145,-765.625,-17.090,-82.520,0.000
1722219901.781,-68.359,-678.223,13.184,-72.754,0.000
1722219901.785,-60.547,-477.051,11.719,-77.637,0.000
1722219901.788,-84.473,-665.039,-28.809,-86.426,0.000
1722219901.792,-97.168,-851.562,-34.180,-78.125,0.000
1722219901.796,-67.871,-647.461,0.000,-65.430,0.000
1722219901.800,-43.945,-782.227,-34.180,-69.824,0.000
1722219901.804,-70.312,-1000.000,-67.871,-79.102,0.000
1722219901.808,-94.238,-999.023,-105.469,-72.266,0.000
1722219901.812,-74.219,-738.281,-19.043,-65.918,0.000
1722219901.816,-62.012,-401.855,60.547,-69.824,0.000
1722219901.819,-67.383,-653.320,-26.367,-74.707,0.000
1722219901.823,-79.102,-989.258,-65.430,-70.312,0.000
1722219901.828,-81.055,-693.848,17.578,-60.059,0.000
1722219901.831,-61.035,-379.395,36.621,-60.547,0.000
1722219901.835,-63.965,-699.707,-41.992,-72.266,0.000
1722219901.839,-84.473,-878.418,-35.645,-66.895,0.000
1722219901.843,-84.961,-550.293,23.926,-53.223,0.000
1722219901.847,-57.129,-703.125,10.254,-51.270,0.000
1722219901.851,-48.828,-995.605,-74.219,-54.199,0.000
1722219901.855,-70.312,-859.375,-77.148,-57.617,0.000
1722219901.858,-86.426,-398.438,62.012,-62.012,0.000
1722219901.862,-64.941,-162.598,58.105,-54.199,0.000
1722219901.866,-55.176,-463.379,-6.836,-61.523,0.000
1722219901.870,-66.895,-447.754,4.883,-75.195,0.000
1722219901.874,-76.172,-135.254,34.668,-57.129,0.000
1722219901.878,-71.777,-193.848,6.348,-45.410,0.000
1722219901.882,-60.547,-376.465,-10.742,-69.336,0.000
1722219901.886,-67.871,-219.727,15.625,-83.496,0.000
1722219901.890,-88.867,-68.359,8.301,-76.660,0.000
1722219901.894,-86.426,-307.617,-14.160,-63.965,0.000
1722219901.898,-65.430,-770.508,-78.125,-60.059,0.000
1722219901.901,-72.754,-707.031,-34.180,-78.613,0.000
1722219901.905,-88.867,-66.895,58.594,-86.426,0.000
1722219901.909,-84.473,-89.844,3.418,-71.777,0.000
1722219901.913,-69.336,-286.133,-16.113,-68.359,0.000
1722219901.917,-61.035,-76.660,17.090,-68.848,0.000
1722219901.921,-61.035,35.156,6.836,-66.895,0.000
1722219901.925,-64.453,-284.668,-44.922,-55.176,0.000
1722219901.929,-51.758,-363.770,-31.250,-44.922,0.000
1722219901.933,-43.945,12.207,-0.977,-63.477,0.000
1722219901.937,-45.410,-213.867,-52.734,-71.777,0.000
1722219901.940,-57.617,-782.227,-120.605,-61.523,0.000
1722219901.944,-59.082,-727.539,-79.590,-55.664,0.000
1722219901.948,-43.457,-82.520,18.066,-63.477,0.000
1722219901.952,-48.340,10.254,-19.531,-73.730,0.000
1722219901.956,-63.965,-542.480,-100.586,-60.059,0.000
1722219901.960,-65.430,-671.875,-77.148,-54.688,0.000
1722219901.964,-55.664,-186.035,5.859,-71.777,0.000
1722219901.968,-58.105,-136.719,-24.414,-83.984,0.000
1722219901.972,-72.266,-465.820,-52.246,-78.613,0.000
1722219901.976,-75.195,-359.375,-8.301,-75.195,0.000
1722219901.980,-61.035,-47.363,5.371,-75.195,0.000
1722219901.984,-57.129,-206.055,-42.969,-79.590,0.000
1722219901.988,-70.312,-749.023,-95.215,-81.055,0.000
1722219901.991,-88.867,-857.910,-61.523,-75.684,0.000
1722219901.995,-70.801,-635.742,-22.949,-68.359,0.000
1722219901.999,-54.688,-702.148,-42.480,-70.312,0.000
1722219902.003,-61.035,-833.496,-62.500,-72.754,0.000
1722219902.007,-70.312,-547.363,7.324,-60.059,0.000
1722219902.011,-58.105,-107.422,46.387,-53.711,0.000
1722219902.015,-33.203,-358.887,-27.344,-60.547,0.000
1722219902.019,-42.480,-631.836,-43.457,-63.477,0.000
1722219902.023,-61.035,-329.590,17.090,-59.082,0.000
1722219902.027,-57.617,-178.711,21.973,-48.340,0.000
1722219902.031,-39.062,-461.426,-21.973,-43.457,0.000
1722219902.034,-42.480,-907.715,-61.523,-57.129,0.000
1722219902.038,-61.035,-713.379,-18.066,-64.453,0.000
1722219902.042,-65.918,-265.137,50.293,-61.523,0.000
1722219902.046,-40.039,-581.055,-45.410,-56.152,0.000
1722219902.050,-42.969,-960.449,-96.680,-69.336,0.000
1722219902.054,-81.055,-475.098,39.551,-88.379,0.000
1722219902.058,-80.566,-275.391,29.297,-79.102,0.000
1722219902.062,-56.152,-470.215,-4.883,-64.453,0.000
1722219902.066,-46.387,-388.672,14.648,-67.383,0.000
1722219902.070,-56.641,-251.953,9.766,-83.496,0.000
1722219902.074,-73.242,-402.344,-11.230,-75.684,0.000
1722219902.078,-64.453,-593.750,-13.672,-59.570,0.000
1722219902.081,-52.734,-710.449,-14.160,-68.848,0.000
1722219902.085,-55.176,-839.355,-23.438,-80.566,0.000
1722219902.089,-91.797,-909.668,-34.180,-80.566,0.000
1722219902.093,-111.328,-935.059,-62.012,-68.359,0.000
1722219902.097,-83.984,-527.344,21.973,-67.871,0.000
1722219902.101,-78.613,-173.828,54.688,-83.496,0.000
1722219902.105,-83.008,-570.801,-39.062,-85.449,0.000
1722219902.109,-88.379,-755.859,-39.551,-79.102,0.000
1722219902.113,-72.266,-291.504,28.320,-75.684,0.000
1722219902.117,-52.246,-164.551,15.137,-79.590,0.000
1722219902.121,-52.734,-606.934,-57.129,-78.613,0.000
1722219902.124,-63.477,-751.465,-65.430,-59.570,0.000
1722219902.128,-54.688,-635.742,-30.762,-41.016,0.000
1722219902.132,-44.922,-733.887,-14.160,-63.965,0.000
1722219902.136,-55.664,-857.910,-90.820,-82.031,0.000
