timestamps,TP9,AF7,AF8,TP10,Right AUX
1722219703.781,-42.969,-40.527,-41.016,-51.758,0.000
1722219703.785,-51.758,-41.992,-48.828,-63.965,0.000
1722219703.789,-65.918,-42.480,-50.781,-71.777,0.000
1722219703.793,-50.293,-36.621,-40.527,-54.688,0.000
1722219703.797,-34.668,-35.156,-37.598,-51.270,0.000
1722219703.801,-56.152,-38.574,-41.504,-82.031,0.000
1722219703.805,-71.289,-42.480,-44.434,-85.449,0.000
1722219703.809,-58.105,-43.457,-40.527,-71.289,0.000
1722219703.813,-50.781,-45.410,-43.945,-79.590,0.000
1722219703.816,-62.500,-41.992,-46.875,-96.191,0.000
1722219703.820,-72.266,-35.645,-44.434,-90.820,0.000
1722219703.824,-56.641,-33.203,-41.016,-62.012,0.000
1722219703.828,-35.645,-31.738,-37.598,-57.129,0.000
1722219703.832,-62.500,-34.668,-45.410,-85.449,0.000
1722219703.836,-86.426,-43.457,-42.969,-87.402,0.000
1722219703.840,-77.148,-48.340,-37.109,-54.688,0.000
1722219703.844,-57.129,-44.434,-38.086,-47.363,0.000
1722219703.848,-48.828,-39.062,-37.109,-61.035,0.000
1722219703.852,-53.711,-41.504,-38.086,-58.105,0.000
1722219703.856,-61.523,-41.992,-41.016,-56.152,0.000
1722219703.859,-54.199,-40.039,-43.457,-44.922,0.000
1722219703.863,-40.527,-36.133,-40.527,-58.105,0.000
1722219703.867,-40.527,-37.109,-41.992,-73.242,0.000
1722219703.871,-31.738,-42.969,-38.574,-36.621,0.000
1722219703.875,-43.945,-39.551,-28.320,-44.922,0.000
1722219703.879,-57.129,-36.621,-38.086,-89.355,0.000
1722219703.883,-62.988,-35.645,-41.016,-101.562,0.000
1722219703.887,-81.055,-38.086,-37.598,-95.703,0.000
1722219703.890,-81.055,-42.969,-39.062,-85.449,0.000
1722219703.895,-73.242,-48.340,-34.668,-82.520,0.000
1722219703.898,-66.895,-53.711,-25.391,-71.777,0.000
1722219703.902,-69.824,-49.805,-20.020,-67.871,0.000
1722219703.906,-80.566,-48.828,-33.691,-72.754,0.000
1722219703.910,-64.941,-49.316,-43.945,-66.895,0.000
1722219703.914,-48.828,-40.527,-35.156,-53.711,0.000
1722219703.918,-52.246,-38.574,-32.715,-57.617,0.000
1722219703.922,-61.523,-38.086,-45.410,-62.500,0.000
1722219703.926,-52.734,-33.691,-45.898,-50.293,0.000
1722219703.929,-39.551,-35.156,-32.227,-50.781,0.000
1722219703.933,-50.781,-36.621,-28.809,-63.965,0.000
1722219703.937,-72.266,-39.062,-41.504,-71.777,0.000
1722219703.942,-63.965,-44.922,-43.945,-57.617,0.000
1722219703.945,-34.668,-41.016,-38.574,-56.641,0.000
1722219703.949,-38.574,-38.086,-39.551,-71.777,0.000
1722219703.953,-59.570,-41.504,-37.109,-65.918,0.000
1722219703.957,-55.664,-42.480,-31.738,-51.758,0.000
1722219703.961,-41.016,-34.180,-33.691,-46.875,0.000
1722219703.965,-41.504,-33.203,-41.992,-50.293,0.000
1722219703.969,-50.781,-32.715,-44.922,-69.336,0.000
1722219703.973,-56.641,-29.785,-38.086,-60.547,0.000
1722219703.976,-34.668,-30.273,-34.668,-43.945,0.000
1722219703.980,-30.273,-32.715,-40.527,-66.895,0.000
1722219703.984,-50.293,-32.227,-42.480,-81.055,0.000
1722219703.988,-62.012,-31.250,-38.574,-60.547,0.000
1722219703.992,-58.594,-36.133,-37.598,-47.852,0.000
1722219703.996,-51.270,-40.039,-44.922,-62.988,0.000
1722219704.000,-52.246,-36.621,-49.316,-70.312,0.000
1722219704.004,-55.664,-34.180,-44.922,-62.012,0.000
1722219704.008,-48.340,-40.039,-46.387,-59.570,0.000
1722219704.012,-41.992,-46.875,-51.270,-65.430,0.000
1722219704.016,-59.082,-44.434,-49.316,-81.055,0.000
1722219704.019,-62.500,-44.922,-38.086,-77.148,0.000
